Date,Open,High,Low,Close,Adj Close,Volume,Day
11/25/1981,5.759648,5.759648,5.717504,5.717504,3.989985,8600,1333
11/27/1981,5.717504,5.717504,5.717504,5.717504,3.989985,0,1334
11/30/1981,5.633216,5.633216,5.605121,5.605121,3.911558,500,1335
12/1/1981,5.562977,5.562977,5.534881,5.534881,3.862541,13400,1336
12/2/1981,5.492737,5.492737,5.464642,5.464642,3.813525,500,1337
12/3/1981,5.464642,5.464642,5.464642,5.464642,3.813525,0,1338
12/4/1981,5.464642,5.464642,5.464642,5.464642,3.813525,0,1339
12/7/1981,5.843935,5.872031,5.843935,5.843935,4.078217,28700,1340
12/8/1981,5.815839,5.815839,5.787744,5.787744,4.039003,17400,1341
12/9/1981,5.787744,5.787744,5.787744,5.787744,4.039003,0,1342
12/10/1981,5.633216,5.633216,5.605121,5.605121,3.911558,1300,1343
12/11/1981,5.605121,5.619169,5.577025,5.577025,3.891953,500,1344
12/14/1981,5.577025,5.605121,5.562977,5.562977,3.882149,500,1345
12/15/1981,5.591073,5.633216,5.591073,5.591073,3.901753,1300,1346
12/16/1981,5.591073,5.591073,5.562977,5.562977,3.882149,3000,1347
12/17/1981,5.703456,5.731552,5.703456,5.703456,3.980182,18200,1348
12/18/1981,5.67536,5.67536,5.619169,5.619169,3.921361,1300,1349
12/21/1981,5.619169,5.619169,5.619169,5.619169,3.921361,0,1350
12/22/1981,5.619169,5.633216,5.591073,5.591073,3.901753,1800,1351
12/23/1981,5.787744,5.829887,5.787744,5.787744,4.039003,5200,1352
12/24/1981,5.787744,5.787744,5.787744,5.787744,4.039003,0,1353
12/28/1981,6.366518,6.366518,6.366518,6.366518,4.442903,0,1354
12/29/1981,6.366518,6.366518,6.366518,6.366518,4.442903,0,1355
12/30/1981,5.624788,5.624788,5.57843,5.57843,3.892932,500,1356
12/31/1981,5.593883,5.624788,5.593883,5.593883,3.903715,3700,1357
1/4/1982,5.593883,5.593883,5.593883,5.593883,3.903715,0,1358
1/5/1982,5.686599,5.717504,5.686599,5.686599,3.968417,500,1359
1/6/1982,5.686599,5.686599,5.686599,5.686599,3.968417,0,1360
1/7/1982,5.57843,5.57843,5.562977,5.562977,3.882149,500,1361
1/8/1982,5.532072,5.532072,5.485713,5.485713,3.82823,3000,1362
1/11/1982,5.485713,5.485713,5.470261,5.470261,3.817445,17400,1363
1/12/1982,5.470261,5.470261,5.470261,5.470261,3.817445,0,1364
1/13/1982,5.362092,5.362092,5.331186,5.331186,3.720393,3000,1365
1/14/1982,5.331186,5.362092,5.315733,5.315733,3.709609,3000,1366
1/15/1982,5.315733,5.362092,5.315733,5.315733,3.709609,1300,1367
1/18/1982,5.346639,5.392997,5.346639,5.346639,3.731176,3000,1368
1/19/1982,5.423903,5.454808,5.423903,5.423903,3.785094,7700,1369
1/20/1982,5.470261,5.501166,5.470261,5.470261,3.817445,1300,1370
1/21/1982,5.454808,5.454808,5.40845,5.40845,3.774309,1800,1371
1/22/1982,5.454808,5.470261,5.454808,5.454808,3.806662,5200,1372
1/25/1982,5.671146,5.717504,5.671146,5.671146,3.957633,15900,1373
1/26/1982,5.686599,5.717504,5.686599,5.686599,3.968417,32700,1374
1/27/1982,6.088369,6.119275,6.088369,6.088369,4.248796,65100,1375
1/28/1982,6.057464,6.057464,6.026558,6.026558,4.205662,53900,1376
1/29/1982,6.026558,6.026558,6.011106,6.011106,4.194877,13400,1377
2/1/1982,5.779315,5.779315,5.732957,5.732957,4.00077,23100,1378
2/2/1982,5.609335,5.609335,5.593883,5.593883,3.903715,500,1379
2/3/1982,5.624788,5.655693,5.624788,5.624788,3.925284,34300,1380
2/4/1982,5.562977,5.562977,5.532072,5.532072,3.860582,12600,1381
2/5/1982,5.532072,5.532072,5.532072,5.532072,3.860582,0,1382
2/8/1982,5.423903,5.423903,5.392997,5.392997,3.763527,25600,1383
2/9/1982,5.392997,5.40845,5.362092,5.362092,3.741959,3000,1384
2/10/1982,5.532072,5.57843,5.532072,5.532072,3.860582,3000,1385
2/11/1982,5.532072,5.532072,5.532072,5.532072,3.860582,0,1386
2/12/1982,5.423903,5.423903,5.377544,5.377544,3.752742,500,1387
2/16/1982,5.377544,5.40845,5.362092,5.362092,3.741959,5200,1388
2/17/1982,5.362092,5.362092,5.362092,5.362092,3.741959,0,1389
2/18/1982,5.362092,5.362092,5.362092,5.362092,3.741959,0,1390
2/19/1982,5.454808,5.485713,5.454808,5.454808,3.806662,11100,1391
2/22/1982,5.470261,5.501166,5.470261,5.470261,3.817445,23900,1392
2/23/1982,5.392997,5.392997,5.362092,5.362092,3.741959,35900,1393
2/24/1982,5.269375,5.269375,5.23847,5.23847,3.655689,14100,1394
2/25/1982,5.23847,5.23847,5.207564,5.207564,3.634122,11100,1395
2/26/1982,5.114848,5.114848,5.06849,5.06849,3.537067,13400,1396
3/1/1982,5.022132,5.022132,4.975774,4.975774,3.472365,1300,1397
3/2/1982,5.006679,5.053037,5.006679,5.006679,3.493933,30400,1398
3/3/1982,5.053037,5.099395,5.053037,5.053037,3.526284,3000,1399
3/4/1982,4.929416,4.929416,4.89851,4.89851,3.418447,4400,1400
3/5/1982,4.836699,4.836699,4.790341,4.790341,3.342961,1800,1401
3/8/1982,4.913963,4.944869,4.913963,4.913963,3.429229,3000,1402
3/9/1982,4.821247,4.821247,4.790341,4.790341,3.342961,15900,1403
3/10/1982,4.805794,4.852152,4.805794,4.805794,3.353745,19800,1404
3/11/1982,4.805794,4.805794,4.774889,4.774889,3.332178,40900,1405
3/12/1982,4.574003,4.574003,4.543098,4.543098,3.170421,16600,1406
3/15/1982,4.558547,4.558547,4.558547,4.558547,3.181202,0,1407
3/16/1982,4.55855,4.635814,4.404023,4.404023,3.073368,500,1408
3/17/1982,4.404023,4.635814,4.404023,4.404023,3.073368,400,1409
3/18/1982,4.481287,4.635814,4.481287,4.481287,3.127285,19600,1410
3/19/1982,4.481287,4.635814,4.481287,4.481287,3.127285,500,1411
3/22/1982,4.481287,4.635814,4.481287,4.481287,3.127285,800,1412
3/23/1982,4.55855,4.713078,4.55855,4.55855,3.181204,4400,1413
3/24/1982,4.635814,4.790341,4.635814,4.635814,3.235124,4500,1414
3/25/1982,4.635814,4.635814,4.481287,4.481287,3.127285,5000,1415
3/26/1982,4.481287,4.55855,4.404023,4.404023,3.073368,2000,1416
3/29/1982,4.404023,4.404023,4.249496,4.249496,2.96553,28400,1417
3/30/1982,4.249496,4.32676,4.249496,4.249496,2.96553,500,1418
3/31/1982,4.249496,4.32676,4.249496,4.249496,2.96553,800,1419
4/1/1982,4.249496,4.404023,4.249496,4.249496,2.96553,600,1420
4/2/1982,4.249496,4.404023,4.249496,4.249496,2.96553,300,1421
4/5/1982,4.249496,4.32676,4.249496,4.249496,2.96553,3700,1422
4/6/1982,4.249496,4.249496,4.094969,4.094969,2.857692,700,1423
4/7/1982,4.094969,4.249496,4.094969,4.094969,2.857692,10200,1424
4/8/1982,4.094969,4.249496,4.017705,4.017705,2.803774,300,1425
4/12/1982,4.094969,4.32676,4.094969,4.094969,2.857692,11100,1426
4/13/1982,4.094969,4.249496,4.094969,4.094969,2.857692,6900,1427
4/14/1982,4.094969,4.249496,4.094969,4.094969,2.857692,19800,1428
4/15/1982,4.094969,4.172233,4.017705,4.017705,2.803774,1500,1429
4/16/1982,4.017705,4.172233,4.017705,4.017705,2.803774,100,1430
4/19/1982,4.017705,4.249496,4.017705,4.017705,2.803774,200,1431
4/20/1982,4.172233,4.32676,4.172233,4.172233,2.911611,3700,1432
4/21/1982,4.249496,4.404023,4.249496,4.249496,2.96553,600,1433
4/22/1982,4.404023,4.481287,4.404023,4.404023,3.073368,1500,1434
4/23/1982,4.55855,4.55855,4.55855,4.55855,3.181204,2200,1435
4/26/1982,4.944869,5.022132,4.944869,4.944869,3.450799,9600,1436
4/27/1982,4.944869,5.022132,4.944869,4.944869,3.450799,17900,1437
4/28/1982,5.022132,5.176659,5.022132,5.022132,3.504716,1800,1438
4/29/1982,5.022132,5.176659,5.022132,5.022132,3.504716,12200,1439
4/30/1982,5.099395,5.176659,5.099395,5.099395,3.558636,600,1440
5/3/1982,5.099395,5.253922,5.099395,5.099395,3.558636,3100,1441
5/4/1982,5.176659,5.331186,5.176659,5.176659,3.612555,12100,1442
5/5/1982,5.253922,5.40845,5.253922,5.253922,3.666473,4500,1443
5/6/1982,5.562977,5.717504,5.562977,5.562977,3.882149,6800,1444
5/7/1982,5.562977,5.717504,5.562977,5.562977,3.882149,15400,1445
5/10/1982,5.562977,5.640241,5.485713,5.485713,3.82823,10100,1446
5/11/1982,5.562977,5.640241,5.562977,5.562977,3.882149,45600,1447
5/12/1982,5.562977,5.640241,5.40845,5.40845,3.774309,8400,1448
5/13/1982,5.640241,5.717504,5.640241,5.640241,3.936067,4800,1449
5/14/1982,5.640241,5.794768,5.640241,5.640241,3.936067,400,1450
5/17/1982,5.640241,5.794768,5.640241,5.640241,3.936067,1800,1451
5/18/1982,5.640241,5.717504,5.640241,5.640241,3.936067,1700,1452
5/19/1982,5.717504,5.794768,5.717504,5.717504,3.989985,4800,1453
5/20/1982,5.717504,5.794768,5.640241,5.640241,3.936067,1500,1454
5/21/1982,5.640241,5.794768,5.562977,5.562977,3.882149,1700,1455
5/24/1982,5.562977,5.794768,5.562977,5.562977,3.882149,300,1456
5/25/1982,5.562977,5.640241,5.562977,5.562977,3.882149,3300,1457
5/26/1982,5.562977,5.640241,5.562977,5.562977,3.882149,6400,1458
5/27/1982,5.485713,5.485713,5.40845,5.40845,3.774309,5000,1459
5/28/1982,5.40845,5.40845,5.253922,5.253922,3.666473,800,1460
6/1/1982,5.331186,5.485713,5.331186,5.331186,3.720393,500,1461
6/2/1982,5.40845,5.485713,5.40845,5.40845,3.774309,1300,1462
6/3/1982,5.40845,5.40845,5.331186,5.331186,3.720393,1400,1463
6/4/1982,5.331186,5.40845,5.331186,5.331186,3.720393,600,1464
6/7/1982,5.253922,5.253922,5.176659,5.176659,3.612555,5500,1465
6/8/1982,5.176659,5.253922,5.176659,5.176659,3.612555,4800,1466
6/9/1982,5.176659,5.176659,5.099395,5.099395,3.558636,1900,1467
6/10/1982,5.099395,5.176659,5.022132,5.022132,3.504716,1600,1468
6/11/1982,5.099395,5.176659,5.099395,5.099395,3.558636,200,1469
6/14/1982,5.099395,5.176659,5.022132,5.022132,3.504716,1400,1470
6/15/1982,5.022132,5.099395,4.944869,4.944869,3.450799,100,1471
6/16/1982,4.944869,5.022132,4.790341,4.790341,3.342961,300,1472
6/17/1982,4.790341,4.867605,4.790341,4.790341,3.342961,900,1473
6/18/1982,4.790341,4.790341,4.790341,4.790341,3.342961,0,1474
6/21/1982,4.790341,4.790341,4.713078,4.713078,3.289042,400,1475
6/22/1982,4.867605,5.022132,4.867605,4.867605,3.396879,100,1476
6/23/1982,4.55855,4.55855,4.404023,4.404023,3.073368,1700,1477
6/24/1982,4.404023,4.55855,4.404023,4.404023,3.073368,200,1478
6/25/1982,4.404023,4.55855,4.404023,4.404023,3.073368,600,1479
6/28/1982,4.844426,4.929416,4.759436,4.759436,3.321392,100,1480
6/29/1982,4.759436,4.929416,4.674446,4.674446,3.262082,1800,1481
6/30/1982,4.929416,5.014406,4.929416,4.929416,3.440015,8900,1482
7/1/1982,4.929416,4.929416,4.929416,4.929416,3.440015,0,1483
7/2/1982,4.844426,4.844426,4.674446,4.674446,3.262082,1600,1484
7/6/1982,4.674446,4.759436,4.589456,4.589456,3.202772,100,1485
7/7/1982,4.589456,4.759436,4.589456,4.589456,3.202772,300,1486
7/8/1982,4.589456,4.589456,4.504466,4.504466,3.143461,1400,1487
7/9/1982,4.589456,4.674446,4.589456,4.589456,3.202772,100,1488
7/12/1982,4.759436,4.929416,4.759436,4.759436,3.321392,100,1489
7/13/1982,4.759436,4.759436,4.589456,4.589456,3.202772,3600,1490
7/14/1982,4.589456,4.759436,4.589456,4.589456,3.202772,900,1491
7/15/1982,4.589456,4.759436,4.589456,4.589456,3.202772,100,1492
7/16/1982,4.589456,4.589456,4.589456,4.589456,3.202772,0,1493
7/19/1982,4.674446,4.759436,4.674446,4.674446,3.262082,1400,1494
7/20/1982,4.674446,4.674446,4.674446,4.674446,3.262082,0,1495
7/21/1982,4.674446,4.674446,4.589456,4.589456,3.202772,7300,1496
7/22/1982,4.674446,4.759436,4.674446,4.674446,3.262082,900,1497
7/23/1982,4.674446,4.674446,4.674446,4.674446,3.262082,0,1498
7/26/1982,4.674446,4.674446,4.504466,4.504466,3.143461,900,1499
7/27/1982,4.504466,4.589456,4.419476,4.419476,3.08415,1200,1500
7/28/1982,4.419476,4.504466,4.334486,4.334486,3.02484,1600,1501
7/29/1982,4.334486,4.419476,4.249496,4.249496,2.96553,900,1502
7/30/1982,4.249496,4.419476,4.249496,4.249496,2.96553,200,1503
8/2/1982,4.249496,4.249496,4.249496,4.249496,2.96553,0,1504
8/3/1982,4.249496,4.419476,4.249496,4.249496,2.96553,300,1505
8/4/1982,4.249496,4.249496,4.249496,4.249496,2.96553,0,1506
8/5/1982,4.249496,4.419476,4.249496,4.249496,2.96553,200,1507
8/6/1982,4.249496,4.249496,4.249496,4.249496,2.96553,0,1508
